Name	Description	A54939	A54940	A54941	A54942	A54943	A54944	A54945	A54946	A54947
CDHR1	na	7.200231	1.880988	3.721254	6.57477	1.646575	3.483259	5.969843	2.43859	3.861596
TWNK	na	8.841904	7.360548	6.604217	9.013754	6.603189	7.042427	10.475098	7.426394	6.412671
NPM3	na	82.754962	62.661032	47.760571	73.290607	55.982159	47.902011	81.217705	63.753567	49.742605
	na	10.607843	3.009142	5.691102	10.718079	1.790946	6.040425	12.524298	1.664625	6.11661
PDZD8	na	9.277426	5.645239	7.386999	9.664462	5.280122	7.268218	9.27078	5.440433	7.041946
PDZD8	na	7.669704	4.564033	4.443915	7.832282	5.330618	5.108042	10.310883	5.878918	4.163946
PTPRE	na	8.79595	17.234898	14.907156	8.258554	14.574556	15.812671	7.781588	16.49668	14.666475
INPP5A	na	5.617328	11.531133	7.805106	5.57801	12.746729	8.705866	5.992452	13.29181	8.08469
FUOM	na	14.074984	10.639336	5.44446	13.029176	10.39776	5.45793	13.335152	11.33435	5.778879
DEAF1	na	25.743153	18.697031	18.581588	25.50636	17.403926	19.320576	24.787099	20.649733	20.056207
TSPAN4	na	32.070945	5.680994	20.95209	27.673219	6.825019	20.935569	29.391181	6.434148	20.042176
TOLLIP	na	8.738885	11.047979	10.675856	7.2959	9.389302	11.673319	7.152755	11.725578	11.264279
TRIM22	na	19.005863	30.628577	26.369848	18.133162	28.171497	29.15222	17.64616	30.669933	29.326074
SMPD1	na	8.833309	14.19331	12.563424	6.11953	12.52302	12.594228	6.419698	12.951791	12.269315
SWAP70	na	3.19124	5.658416	5.836325	3.47264	5.416539	4.568636	2.882655	5.027144	4.666194
LGR4	na	8.495813	4.877838	3.920997	8.670351	3.8139	4.292311	6.215029	3.734298	4.494624
LMO2	na	62.417249	74.755839	78.027764	57.872473	73.902687	79.39171	56.411357	72.866621	80.737861
MED19	na	12.669959	23.429566	16.60709	11.350816	18.618118	17.551933	11.566543	19.767434	17.610501
LPXN	na	157.214162	268.510444	223.122487	108.495304	178.243308	201.058818	103.397089	190.437208	213.258813
CCDC86	na	54.473222	32.11287	31.980628	46.411659	27.884628	30.957026	44.610062	31.483797	35.389527
SLC15A3	na	3.070069	5.661338	5.355075	3.550008	4.690311	4.803877	2.504741	6.336666	5.867583
SLC15A3	na	6.501494	9.142922	7.194003	5.5311	9.544261	8.381575	5.526029	10.645125	9.176698
FADS1	na	47.900348	30.838963	32.897616	42.592655	25.61194	29.706529	40.829746	24.38271	30.570723
FADS1	na	15.235255	3.561834	6.411962	12.461554	3.164298	4.758297	15.818204	7.243016	5.648601
FADS2	na	36.209366	23.257128	22.934513	35.360694	21.806235	23.904461	34.942925	23.705924	24.987642
TTC9C	na	6.235623	8.212895	7.755871	5.8029	9.351673	9.621129	6.042264	7.672439	8.35038
MACROD1	na	9.548884	6.920822	5.05324	8.896652	6.578942	4.376786	8.83053	7.10665	5.049531
FERMT3	na	82.146598	98.43187	97.11615	65.006377	86.993802	96.319717	64.68783	103.29734	104.583525
NEAT1	na	4.343963	5.814744	6.51742	4.08593	7.049983	5.981928	4.326663	7.88902	6.225551
MALAT1	na	87.853723	128.191703	154.325743	78.929383	159.128491	126.022989	78.461474	128.803978	109.732071
B4GAT1	na	6.38358	3.47022	3.750725	6.744422	3.535599	3.810488	6.027308	4.423173	3.934035
GAL	na	95.798443	28.70345	21.82809	84.463443	27.716743	19.14193	93.533593	32.936375	22.637298
UCP2	na	41.488132	28.766555	28.925203	38.116153	26.018722	30.295272	41.219968	30.545898	31.886584
PRCP	na	20.40391	31.578182	27.236818	21.395709	29.11884	25.631238	19.54111	29.159396	27.775557
CASP1	na	5.163794	8.246224	9.82694	5.816504	8.771126	11.126938	5.836236	10.153564	10.154968
SLC35F2	na	10.836251	8.307078	6.20603	9.463216	6.733538	5.986136	9.610473	7.074561	6.385545
CD4	na	85.982045	64.478569	67.085879	80.456905	60.954992	65.69545	78.870126	67.440442	66.737622
M6PR	na	81.429823	106.254549	94.010687	82.190453	106.520652	105.482875	88.517711	111.461372	107.088764
FKBP11	na	6.097464	3.398586	1.861086	6.030141	3.556193	2.297497	6.112216	3.722982	1.913699
TROAP	na	3.390637	6.073343	5.061976	3.384922	5.741902	5.634181	3.140765	6.537928	6.054752
CERS5	na	12.547091	17.42193	15.517601	12.282504	16.037786	16.912239	13.323078	16.381397	16.281985
EIF4B	na	70.591224	59.853514	63.334108	79.925642	58.391195	59.58356	75.794924	52.47382	60.985372
ITGB7	na	7.370385	14.493022	16.587389	2.612848	11.784049	9.83585	2.276328	10.792727	10.887386
ITGA5	na	82.362006	120.675461	114.635341	62.079706	104.390563	111.306472	61.216479	114.760808	114.04044
ITGA5	na	26.3553	53.027704	39.007895	24.33565	40.562216	40.544985	17.434658	34.802455	33.957141
RAB5B	na	17.328468	22.884523	20.778784	17.058851	21.329441	21.809753	15.961181	21.5536	20.241967
NABP2	na	28.607348	22.677893	13.383748	26.366476	20.049992	14.496302	28.258857	22.770914	13.827475
ANKRD52	na	11.253033	18.219894	15.804056	12.226123	20.013236	18.368137	12.54657	22.406017	18.552696
STAC3	na	21.384979	12.963853	15.884867	20.415221	12.651206	16.264987	22.478016	14.452386	16.206075
GNS	na	20.845259	32.374224	30.960529	18.878838	28.208025	33.436591	18.539318	30.624525	31.544285
	na	2.74681	9.49461	5.483577	3.715493	8.186805	4.942901	2.403081	6.482675	6.165495
CKAP4	na	84.004834	75.115633	61.407332	97.489971	74.362886	70.80545	96.007536	73.069353	63.804497
UBE3B	na	3.125931	5.939267	5.887828	3.786896	5.541626	5.544836	3.394465	4.804324	5.940372
TRAFD1	na	16.889424	22.149934	19.725323	15.628784	20.031247	20.288166	16.249961	22.765289	20.005242
RHOF	na	10.506385	6.678506	5.883905	8.023087	6.335115	5.528366	9.386468	6.582574	5.89847
AACS	na	20.981513	8.719901	12.826604	18.783751	8.004398	12.737256	18.425932	9.117604	13.763481
PUS1	na	44.229149	27.642422	28.544073	32.402224	25.22836	26.068502	42.260805	30.332221	28.093971
PSPC1	na	9.062316	6.445754	5.992414	9.499005	6.779317	7.54057	11.081524	7.522975	7.278778
SPART	na	23.157761	32.859289	30.507211	19.078229	31.882502	36.885648	26.065705	39.544636	42.362357
KPNA3	na	15.387124	13.183494	10.171798	20.201964	11.478937	10.544145	18.651219	12.341195	11.246963
SLAIN1	na	5.296555	2.460275	3.149056	8.140513	2.804465	3.367294	6.277559	2.942175	4.120377
