"Transcript","logFC","AveExpr","t","P.Value","adj.P.Val","B","signif","cluster"
"ENST00000265643",-2.00743052889365,5.45605491397993,-21.4820047840498,1.55875776451242e-08,0.000194062911608688,9.6469575075904,TRUE,"B"
"ENST00000620913",-1.39964922282211,4.79296546655887,-19.6936915247306,3.15361429405808e-08,0.000194062911608688,9.14529600688745,TRUE,"B"
"ENST00000310624",-1.23778971016406,4.3498351661932,-18.2482993725234,5.83956374335822e-08,0.000215608372532272,8.68192833601211,TRUE,"B"
"ENST00000347703",-1.16175364332451,5.20879748492294,-17.6231592250263,7.73484285400858e-08,0.000229650819044288,8.4632003725487,TRUE,"B"
"ENST00000465384",-1.03293505495885,3.61777954787633,-15.8630837682565,1.80163081916974e-07,0.000369554517252139,7.77910099909289,TRUE,"B"
"ENST00000409483",-0.904649598475031,5.19533333118534,-13.5909632765484,6.18076118766722e-07,0.000631688899408353,6.71773413236064,FALSE,"B"
"ENST00000258787",0.785111648105036,6.20907266657936,13.1682275966188,7.93867965906511e-07,0.000693423813625171,6.49389114074709,FALSE,"D"
"ENST00000594786",-0.87820814055065,4.36998507207161,-12.7611607114244,1.01741332857703e-06,0.000785077205250014,6.26947854917979,FALSE,"B"
"ENST00000526627",0.76628213220206,5.23132248129864,12.5975698350183,1.12638468176794e-06,0.000798777980126064,6.1767362751607,FALSE,"D"
"ENST00000267023",-0.902499672684769,4.58807925337644,-12.5353247647044,1.17121848954724e-06,0.000798777980126064,6.14105309255579,FALSE,"B"
"ENST00000580965",-0.885116657123843,3.99458839253573,-12.3800804949308,1.29196752875226e-06,0.000798777980126064,6.05109064721806,FALSE,"B"
"ENST00000578542",-0.88636395249473,5.15126591398866,-12.3373515531727,1.32759515690601e-06,0.000798777980126064,6.02608496981659,FALSE,"B"
"ENST00000318978",-1.16423375972292,3.42764762665493,-12.1619934672703,1.48573749148679e-06,0.000828329475620207,5.92233805910526,TRUE,"B"
"ENST00000249014",-1.62522995787474,2.74794268629311,-11.5421285977911,2.238560060431e-06,0.00108752782304254,5.54056383997461,TRUE,"B"
"ENST00000397572",-0.839994390155717,4.05117267431895,-11.26520599537,2.70575476104864e-06,0.00115560320988113,5.36205552580671,FALSE,"B"
"ENST00000568457",0.913765903107885,3.58607789191833,10.9539294884885,3.36510535547545e-06,0.001215098456129,5.15521060234098,FALSE,"D"
"ENST00000429029",0.810329914968533,5.65893987555233,10.8908370109701,3.51953759769247e-06,0.001215098456129,5.11246237357716,FALSE,"D"
"ENST00000368985",0.818949416046101,4.10716233372792,10.8624713858036,3.59152770454756e-06,0.001215098456129,5.09315120039245,FALSE,"D"
"ENST00000371732",-0.875104383416513,3.79998766880754,-10.8387351830517,3.65303015910603e-06,0.001215098456129,5.07694758437095,FALSE,"B"
"ENST00000361298",-0.811477772683117,6.12452368267922,-10.7562852344001,3.87595554257614e-06,0.001215098456129,5.02034841401976,FALSE,"B"
"ENST00000338401",-0.722618704573039,5.42905673720927,-10.7482024512808,3.89861247569605e-06,0.001215098456129,5.01477343395342,FALSE,"B"
"ENST00000400566",1.11738861636981,3.25858340585785,10.7396489251854,3.92274969425152e-06,0.001215098456129,5.00886860518506,TRUE,"D"
"ENST00000326739",-0.642349642880067,8.30245645087086,-10.6977019260476,4.04355473376381e-06,0.001215098456129,4.9798339391346,FALSE,"B"
"ENST00000621465",-0.684105399830839,4.37619953869358,-10.6850418214377,4.08082467255283e-06,0.001215098456129,4.97104571539287,FALSE,"B"
"ENST00000222690",0.670195494093662,4.5573854253268,10.6241382181051,4.26554723726689e-06,0.00123041043042475,4.92860416111002,FALSE,"D"
"ENST00000334815",-0.943005567875558,3.76664815013678,-10.5713089966937,4.43334025252583e-06,0.00125913683695199,4.89156771123513,FALSE,"B"
"ENST00000168216",0.77778803623167,6.62732728698685,10.1377143093417,6.12481014306808e-06,0.00144669226826577,4.57960741601796,FALSE,"D"
"ENST00000162330",1.28889110483824,3.53611521129607,10.082769598109,6.38631105617026e-06,0.00144669226826577,4.53903352268409,TRUE,"D"
"ENST00000357156",0.998686804708084,7.43075990506189,10.0571018497565,6.51271067745958e-06,0.00144856809417568,4.51999683913854,FALSE,"D"
"ENST00000296511",0.993260742880237,6.2428904272166,9.96317398295947,6.99955143001685e-06,0.00148528667483007,4.44988369197815,FALSE,"D"
"ENST00000309576",0.950959661362631,3.22401113770254,9.96316171376787,6.99961761065036e-06,0.00148528667483007,4.44987448702874,FALSE,"D"
"ENST00000448301",0.955635307989636,5.41577778954946,9.90877592195173,7.29993519408738e-06,0.00151420341143873,4.40895133219061,FALSE,"D"
"ENST00000309451",-0.530283935149212,6.85416796108446,-9.72749952644228,8.40929592017916e-06,0.00168743491285247,4.27079154940259,FALSE,"B"
"ENST00000301454",-0.623593999313778,3.89915453191691,-9.6268902002265,9.10508562042565e-06,0.00171655969812988,4.19292701418292,FALSE,"B"
"ENST00000582401",0.843147703117011,6.57805003779046,9.6089461380745,9.2357878509614e-06,0.00171655969812988,4.17894937789255,FALSE,"D"
"ENST00000368323",0.699840251796534,3.3508173857883,9.59471744715111,9.34091100603145e-06,0.00171655969812988,4.16784631833068,FALSE,"D"
"ENST00000576252",1.2763356980814,3.5713626418375,9.5933224840682,9.35128853370085e-06,0.00171655969812988,4.16675685671133,TRUE,"D"
"ENST00000480760",1.01375906958195,5.68659914279819,9.59228782591133,9.35899392862766e-06,0.00171655969812988,4.16594868453224,TRUE,"D"
"ENST00000391839",0.530296708996868,5.08192414991715,9.58763965623546,9.39369736181685e-06,0.00171655969812988,4.16231686577324,FALSE,"D"
"ENST00000256495",0.943294022880798,3.65106356857991,9.54817618648512,9.69416407580517e-06,0.00173751420391689,4.13140767254036,FALSE,"D"
"ENST00000264187",-0.647265423032861,3.61412950744824,-9.50572835621639,1.00293323491598e-05,0.00174671230658338,4.09801128372085,FALSE,"B"
"ENST00000306042",0.737854883872959,3.98020311000069,9.48920565523503,1.01632617909596e-05,0.00175349510208322,4.0849696686664,FALSE,"D"
"ENST00000480798",1.24900441092107,5.65440951017302,9.44004176188572,1.05736751706654e-05,0.0017908313516115,4.04602338958085,TRUE,"D"
"ENST00000355773",0.639276487796869,3.61706845443872,9.37707927168119,1.11264203925888e-05,0.00185032285793423,3.99583720312453,FALSE,"D"
"ENST00000494695",-0.718831787219778,3.99391620001369,-9.36511648465467,1.12350304537385e-05,0.00185032285793423,3.98626242208534,FALSE,"B"
"ENST00000331495",0.770778243920127,4.12547804326233,9.35797916635724,1.13003909224867e-05,0.00185032285793423,3.98054382408883,FALSE,"D"
"ENST00000575111",-0.529463213467901,4.83979165445027,-9.34012831215838,1.14657188658841e-05,0.00185674242090426,3.96622151383961,FALSE,"B"
"ENST00000409687",-0.714810556431835,5.52283422367495,-9.28603010113595,1.19833971580866e-05,0.00189081619602937,3.92264370476056,FALSE,"B"
"ENST00000219596",0.779547191423766,3.18825374132229,9.25135337355677,1.23288629572296e-05,0.00192884016146962,3.89457290051601,FALSE,"D"
"ENST00000370110",-0.681748383888087,6.0913678150706,-9.11660018441868,1.3780359783898e-05,0.00205160662879469,3.78445837938243,FALSE,"B"
"ENST00000322910",0.746435258760077,3.50194285765345,9.00088630592161,1.51791968594831e-05,0.00222399327954696,3.68857364305249,FALSE,"D"
"ENST00000538595",-0.700721348513361,3.23191898528072,-8.96851780062119,1.55982107157475e-05,0.00226739029939697,3.6615291668205,FALSE,"B"
"ENST00000258145",0.667167841972547,4.94281213479959,8.90366550659771,1.64769277239438e-05,0.0023562715084914,3.60704779692554,FALSE,"D"
"ENST00000492383",0.5990966467187,5.20828050108514,8.87394164198512,1.68979257820962e-05,0.00237271376022166,3.58194440895659,FALSE,"D"
"ENST00000340648",-0.702245792007247,4.23540109766801,-8.81181634079161,1.78169533055854e-05,0.00245461772368964,3.5292045338385,FALSE,"B"
"ENST00000498660",0.735734313479995,3.91125935836948,8.78511230325624,1.82289270960878e-05,0.00248230639371833,3.50642111218258,FALSE,"D"
"ENST00000621127",-0.626011971946525,4.15280315054979,-8.7814110686052,1.82868571337247e-05,0.00248230639371833,3.5032578674655,FALSE,"B"
"ENST00000432365",-0.643899100019185,3.6972778494927,-8.59721563871375,2.1445071239754e-05,0.00270920677757615,3.34415273996219,FALSE,"B"
"ENST00000348354",0.803945648908698,4.938374755479,8.58820182000829,2.1614464489625e-05,0.00270920677757615,3.33628121416614,FALSE,"D"
"ENST00000278840",-0.53172850876124,4.95701003306735,-8.58125077920801,2.17461065109207e-05,0.00270920677757615,3.33020555280612,FALSE,"B"
"ENST00000329421",-0.913431260508512,6.62400554932712,-8.52070053976266,2.29312041629178e-05,0.00274961767665797,3.27707721807055,FALSE,"B"
"ENST00000193322",0.692215833214945,4.1165576878016,8.48415512730104,2.36810450287763e-05,0.00280240879664256,3.24483375843463,FALSE,"D"
"ENST00000551094",-1.00669484487986,2.60097139291878,-8.42351555909033,2.49859868514041e-05,0.00281889995420304,3.19103516016901,TRUE,"B"
"ENST00000429504",-1.12468675391885,3.24846856484948,-8.42099365870826,2.50419583169546e-05,0.00281889995420304,3.18878969101152,TRUE,"B"
